tau_D2S,F_C_lagrangian,F_V_lagrangian,F_D_parent,phi_C_eulerian,phi_V_eulerian,phi_D_eulerian
0.03,1.11022302463e-16,0,1,6.24939505344e-19,0,1
0.0318440776581,0,0,1,0,0,1
0.0338015093965,0,0,1,0,0,1
0.035879263006,1.11022302463e-16,1.11022302463e-16,1,6.24939505344e-19,5.55111512313e-16,1
0.0380847345826,1.11022302463e-16,5.55111512313e-17,1,6.24939505344e-19,2.77555756156e-16,1
0.0404257748546,0,0,1,0,0,1
0.0429107171286,3.33066907388e-16,0,1,1.87481851603e-18,0,1
0.0455484069535,2.88657986403e-15,5.55111512313e-17,1,1.6248427139e-17,2.77555756156e-16,1
0.0483482336077,1.74305014866e-14,5.55111512313e-17,1,9.81155023391e-17,2.77555756156e-16,1
0.0513201635211,9.89208714941e-14,5.55111512313e-17,1,5.56821099262e-16,2.77555756156e-16,1
0.0544747757531,5.05706587717e-13,5.55111512313e-17,0.999999999999,2.84659944685e-15,2.77555756156e-16,1
0.0578232996496,2.35900188272e-12,5.55111512313e-17,0.999999999998,1.32787146096e-14,2.77555756157e-16,1
0.0613776548162,1.00781605283e-11,0,0.99999999999,5.67295085377e-14,0,1
0.065150493548,3.9646286254e-11,0,0.99999999996,2.23167147246e-13,0,1
0.0691552458668,1.44299239224e-10,0,0.999999999856,8.12253873277e-13,0,0.999999999999
0.0734061673282,4.88116547182e-10,0,0.999999999512,2.74758590777e-12,0,0.999999999997
0.077918389766,1.54105628258e-09,5.55111512313e-17,0.999999998459,8.67453593612e-12,2.77555756582e-16,0.999999999991
0.0827079751567,4.55911797204e-09,5.55111512313e-17,0.999999995441,2.56630684103e-11,2.77555757415e-16,0.999999999974
0.0877919727945,1.26865008498e-08,0,0.999999987313,7.14117388112e-11,0,0.999999999929
0.0931884799808,3.33225638194e-08,5.55111512313e-17,0.999999966677,1.87571206669e-10,2.77555765353e-16,0.999999999812
0.0989167064449,8.28930485364e-08,0,0.999999917107,4.66601249206e-10,0,0.999999999533
0.104997042724,1.95904593658e-07,5.55111512313e-17,0.999999804095,1.10273828762e-09,2.77555810225e-16,0.999999998897
0.111451132745,4.41166430276e-07,4.4408920985e-16,0.999999558834,2.4833069171e-09,2.22044702332e-15,0.999999997517
0.118301950874,9.4929590988e-07,2.77555756156e-15,0.999999050704,5.34354866716e-09,1.38778009078e-14,0.999999994656
0.125573883691,1.95695944527e-06,1.76525460915e-14,0.999998043041,1.10156573989e-08,8.82629022123e-14,0.999999988984
0.133292816803,3.8745091745e-06,9.92539384015e-14,0.999996125491,2.18095204474e-08,4.96271603993e-13,0.99999997819
