model,a_weighted_m_s2,chi2_per_dof,rms_dex_at_weighted,a_unweighted_m_s2,rms_dex_unweighted
Regional bound-phase spherical relation,1.097458985e-10,1.610215394,0.1329097576,1.133856737e-10,0.1328106496
Empirical exponential RAR,1.1195341e-10,1.620680478,0.1329467271,1.162062527e-10,0.1328132048
