ell_over_L,w_apparent
0.000000000000000000e+00,-1.079604748394469294e+00
4.000000000000000083e-02,-1.035361382495062044e+00
7.960474839446937678e-02,-1.000000000000000000e+00
1.000000000000000056e-01,-9.843113449188225506e-01
2.000000000000000111e-01,-9.247529677465433640e-01
