branch,parameter,rho_over_bg,Hlocal_over_Hbg,Upsilon,delta_linear
overdense,2.02341271,1.91499321,0.734005606,0.530414952,0.535464221
overdense,2.04833037,1.94798107,0.725502415,0.519812234,0.546865494
overdense,2.07324803,1.98205519,0.716779479,0.509128831,0.558320626
overdense,2.1043951,2.02623881,0.705557444,0.495663641,0.572711199
overdense,2.12931276,2.06291177,0.696317352,0.484804778,0.58427771
overdense,2.15423042,2.10081321,0.686836778,0.473870662,0.595889351
overdense,2.17914808,2.13999145,0.677108831,0.462862993,0.607543424
overdense,2.20406574,2.1804971,0.66712636,0.451783478,0.619237228
overdense,2.2289834,2.22238329,0.656881945,0.440633836,0.630968058
overdense,2.25390106,2.26570574,0.646367887,0.4294158,0.642733207
overdense,2.27881871,2.31052291,0.635576191,0.418131109,0.654529964
overdense,2.30373637,2.35689621,0.624498557,0.406781516,0.66635562
overdense,2.32865403,2.4048901,0.613126365,0.395368781,0.678207463
overdense,2.35357169,2.45457232,0.601450662,0.383894678,0.690082785
overdense,2.37848935,2.50601403,0.589462147,0.372360986,0.701978878
overdense,2.40340701,2.55929008,0.577151152,0.360769497,0.713893034
overdense,2.42832467,2.61447915,0.564507632,0.349122008,0.725822553
overdense,2.45324233,2.67166402,0.551521142,0.337420329,0.737764734
overdense,2.47815999,2.73093183,0.53818082,0.325666275,0.749716884
overdense,2.50307764,2.79237429,0.52447537,0.313861671,0.761676315
overdense,2.5279953,2.85608802,0.51039304,0.302008349,0.773640345
overdense,2.55291296,2.9221748,0.4959216,0.29010815,0.785606298
overdense,2.57783062,2.99074192,0.481048323,0.278162919,0.797571509
overdense,2.60274828,3.06190251,0.465759955,0.266174513,0.80953332
overdense,2.62766594,3.1357759,0.450042698,0.25414479,0.821489082
overdense,2.6525836,3.21248804,0.433882177,0.242075619,0.833436158
overdense,2.67750126,3.29217188,0.417263414,0.229968873,0.845371922
overdense,2.70241892,3.37496785,0.4001708,0.217826431,0.857293759
overdense,2.72733657,3.46102435,0.382588064,0.205650178,0.869199069
overdense,2.75225423,3.55049823,0.364498237,0.193442004,0.881085263
overdense,2.77717189,3.6435554,0.345883622,0.181203803,0.892949769
overdense,2.80208955,3.74037138,0.326725751,0.168937476,0.90479003
overdense,2.82700721,3.84113197,0.307005354,0.156644927,0.916603502
overdense,2.85192487,3.94603395,0.28670231,0.144328063,0.928387662
overdense,2.87684253,4.05528581,0.26579561,0.131988797,0.940140003
overdense,2.90176019,4.16910856,0.244263305,0.119629043,0.951858036
overdense,2.92667785,4.28773659,0.222082463,0.10725072,0.963539292
overdense,2.9515955,4.41141861,0.19922911,0.0948557496,0.975181322
overdense,2.97651316,4.54041865,0.175678184,0.0824460557,0.986781697
overdense,3.00143082,4.67501717,0.151403467,0.0700235646,0.998338011
overdense,3.02634848,4.81551219,0.12637753,0.0575902043,1.00984788
overdense,3.05126614,4.96222061,0.100571664,0.0451479049,1.02130894
overdense,3.0761838,5.11547953,0.0739558108,0.0326985976,1.03271885
overdense,3.10110146,5.2756478,0.0464984884,0.0202442148,1.04407531
overdense,3.12601912,5.44310757,0.0181667118,0.00778668971,1.05537602
overdense,3.15093678,5.61826605,-0.0110740908,-0.00467204404,1.06661873
overdense,3.17585443,5.80155744,-0.0412601683,-0.0171300526,1.07780119
overdense,3.20077209,5.99344493,-0.0724295418,-0.0295854022,1.0889212
overdense,3.22568975,6.19442296,-0.104622107,-0.0420361596,1.09997659
overdense,3.25060741,6.40501964,-0.137879741,-0.0544803921,1.1109652
overdense,3.27552507,6.62579937,-0.17224642,-0.0669161681,1.12188491
overdense,3.30044273,6.85736572,-0.207768343,-0.0793415574,1.13273363
overdense,3.32536039,7.10036456,-0.244494063,-0.0917546312,1.1435093
overdense,3.35027805,7.35548748,-0.282474627,-0.104153463,1.1542099
overdense,3.37519571,7.62347543,-0.321763729,-0.116536128,1.16483343
overdense,3.40011336,7.9051229,-0.362417869,-0.128900704,1.17537793
overdense,3.42503102,8.20128223,-0.404496528,-0.141245272,1.18584147
overdense,3.44994868,8.51286853,-0.448062351,-0.153567916,1.19622216
