branch,parameter,rho_over_bg,Hlocal_over_Hbg,Upsilon,delta_linear
void,3.80068836,0.158578034,1.3614522,3.41885657,-3.47124779
void,3.82306633,0.155645678,1.36332226,3.45565194,-3.5313574
void,3.84544431,0.152759613,1.36517376,3.49287994,-3.5923635
void,3.87341677,0.149216412,1.36746208,3.54003042,-3.66990197
void,3.89579474,0.146432776,1.36927192,3.57824896,-3.73297378
void,3.92376721,0.143016097,1.37150825,3.62665267,-3.81313725
void,3.94614518,0.140332458,1.3732766,3.66588597,-3.87834392
void,3.97411765,0.137039242,1.37546119,3.71557358,-3.96122034
void,3.99649562,0.134453139,1.37718825,3.75584651,-4.02863346
void,4.02446809,0.131280292,1.3793214,3.80684951,-4.11431384
void,4.04684606,0.128789237,1.38100745,3.8481876,-4.18400745
void,4.07481852,0.125733636,1.38308951,3.90053832,-4.27258594
void,4.0971965,0.123335126,1.38473484,3.94296777,-4.34463667
void,4.12516896,0.120393637,1.38676621,3.99669939,-4.43621069
void,4.14754693,0.118085159,1.38837117,4.04024709,-4.51069781
void,4.16992491,0.115815888,1.3899583,4.08430061,-4.58629393
void,4.19789737,0.113033678,1.39191726,4.14008723,-4.68237369
void,4.22027534,0.110850809,1.39346457,4.1852991,-4.76052558
void,4.24824781,0.108175033,1.39537403,4.24255145,-4.85985344
void,4.27062578,0.10607606,1.39688195,4.28895033,-4.94064724
void,4.29859825,0.103503595,1.39874245,4.34770471,-5.04333274
void,4.32097622,0.101486026,1.40021144,4.39532,-5.12685757
void,4.34894869,0.0990137661,1.40202357,4.45561365,-5.23301402
void,4.37132666,0.097075127,1.40345411,4.50447554,-5.31936208
void,4.39929912,0.0946999947,1.40521849,4.56634667,-5.42910669
void,4.4216771,0.0928378353,1.40661109,4.61648613,-5.51837336
void,4.44964956,0.0905567837,1.40832838,4.67997396,-5.6318274
void,4.47202753,0.088768681,1.40968357,4.73142277,-5.72411136
void,4.5,0.0865787005,1.41135444,4.79656753,-5.84140028
