omega,k,ReG,ImG,S_chichi,Theta_recovered
0.03,0.0,0.2499460111554452,0.003749223910346871,0.07498447820693742,0.3
0.049974937343358394,0.0,0.24985023621027883,0.006243280875503889,0.07495694290850707,0.3
0.06994987468671679,0.0,0.24970675032328815,0.008733905295443928,0.07491569071047208,0.2999999999999999
0.08992481203007519,0.0,0.2495157107832263,0.01121973397599221,0.07486076682978081,0.30000000000000004
0.10989974937343358,0.0,0.2492773266047141,0.013699412468029958,0.07479223135339504,0.30000000000000004
0.12987468671679198,0.0,0.24899185795794715,0.01617159750723685,0.07471015907434392,0.3
0.14984962406015037,0.0,0.2486596154613622,0.018634959411246172,0.07461463928838158,0.30000000000000004
0.16982456140350877,0.0,0.24828095934083946,0.02108818442532279,0.07450577555227679,0.29999999999999993
0.18979949874686716,0.0,0.24785629845966747,0.023529977008006984,0.07438368540495012,0.30000000000000004
0.20977443609022556,0.0,0.2473860892241137,0.02595906204855286,0.07424850005285011,0.29999999999999993
0.22974937343358395,0.0,0.246870834370022,0.028374187008424347,0.07410036402112784,0.3
0.24972431077694235,0.0,0.24631108163639295,0.030774123979591034,0.07393943477232127,0.29999999999999993
0.26969924812030077,0.0,0.2457074223323921,0.03315767165288509,0.07376588229440284,0.29999999999999993
0.2896741854636592,0.0,0.245060489804669,0.03552365719023499,0.0735798886601683,0.29999999999999993
0.3096491228070175,0.0,0.2443709578122583,0.03787093799517612,0.07338164756005798,0.3
0.32962406015037593,0.0,0.24363953881666595,0.040198403376647804,0.07317136381059525,0.30000000000000004
0.34959899749373435,0.0,0.24286698219501932,0.04250497610171396,0.07294925284070772,0.29999999999999993
0.3695739348370928,0.0,0.242054072384383,0.044789613833488326,0.07271554015826054,0.2999999999999999
0.3895488721804511,0.0,0.24120162696550212,0.04705131045119426,0.07247046079917586,0.29999999999999993
0.4095238095238095,0.0,0.24031049469434462,0.04928909724994416,0.0722142587615461,0.3
0.42949874686716794,0.0,0.23938155348986287,0.05150204401847364,0.07194718642716104,0.29999999999999993
0.44947368421052636,0.0,0.23841570838639273,0.05368925999371085,0.07166950397286928,0.3
0.46944862155388467,0.0,0.23741388945905054,0.055849894691691986,0.0713814787741768,0.2999999999999999
0.4894235588972431,0.0,0.23637704973038343,0.05798313861495005,0.0710833848034568,0.3
0.5093984962406015,0.0,0.23530616306637098,0.060088223837097283,0.07077550202509761,0.3
0.5293734335839599,0.0,0.23420222206968033,0.06216442446589226,0.07045811578986176,0.29999999999999993
0.5493483709273184,0.0,0.23306623597783116,0.06421105698662284,0.07013151623065608,0.3
0.5693233082706767,0.0,0.2318992285736515,0.0662274804881473,0.06979599766183514,0.3000000000000001
0.5892982456140351,0.0,0.2307022361150891,0.06821309677441173,0.06945185798406908,0.29999999999999993
0.6092731829573935,0.0,0.22947630529109955,0.07016735036470244,0.0690993980967082,0.30000000000000004
0.6292481203007518,0.0,0.22822249120996135,0.07208972838629504,0.06873892131946882,0.30000000000000004
0.6492230576441103,0.0,0.22694185542597456,0.07397976036352533,0.06837073282515428,0.30000000000000004
0.6691979949874687,0.0,0.22563546401008788,0.07583701790763131,0.06799513908500407,0.30000000000000004
0.6891729323308271,0.0,0.22430438566957156,0.0776611143119991,0.06761244732814234,0.29999999999999993
0.7091478696741855,0.0,0.22294968992141748,0.07945170405768928,0.06722296501647218,0.2999999999999999
0.7291228070175438,0.0,0.22157244532370182,0.0812084822343223,0.06682699933623248,0.29999999999999993
0.7490977443609023,0.0,0.22017371776869973,0.08293118388156648,0.06642485670730708,0.29999999999999993
0.7690726817042607,0.0,0.21875456884109254,0.08461958325659653,0.06601684231124683,0.2999999999999999
0.789047619047619,0.0,0.2173160542441648,0.0862734930329785,0.06560325963883701,0.3
0.8090225563909774,0.0,0.21585922229644944,0.08789276343648927,0.06518441005791677,0.3
0.8289974937343358,0.0,0.21438511250085218,0.08947728132339676,0.06476059240203519,0.29999999999999993
0.8489724310776943,0.0,0.21289475418786702,0.0910269692067121,0.06433210258040646,0.3000000000000001
0.8689473684210527,0.0,0.2113891652340926,0.09254178423588146,0.06389923320951231,0.29999999999999993
0.888922305764411,0.0,0.20986935085687122,0.0940217171353116,0.06346227326658849,0.3000000000000001
0.9088972431077694,0.0,0.2083363024855016,0.09546679110702622,0.06302150776512361,0.3
0.9288721804511278,0.0,0.206790996709126,0.09687706070262693,0.06257721745240107,0.29999999999999993
0.9488471177944862,0.0,0.20523439430105975,0.09825261066959083,0.062129678529015686,0.3
0.9688220551378446,0.0,0.20366743931902292,0.09959355477677477,0.0616791623902108,0.30000000000000004
0.988796992481203,0.0,0.2020910582804437,0.10090003462381786,0.061225935388796775,0.3
1.0087719298245614,0.0,0.20050615941173733,0.10217221843894185,0.06077025861933585,0.3
1.0287468671679199,0.0,0.19891363197022155,0.10341029986944521,0.06031238772320799,0.30000000000000004
1.0487218045112783,0.0,0.19731434563710545,0.10461449676897185,0.05985257271410921,0.3
1.0686967418546367,0.0,0.19570914997979327,0.1057850499854153,0.05939105782347602,0.2999999999999999
1.088671679197995,0.0,0.19409887398156386,0.10692222215309073,0.05892808136527907,0.3
1.1086466165413533,0.0,0.19248432563653373,0.10802629649257729,0.058463875619584035,0.29999999999999993
1.1286215538847117,0.0,0.19086629160767618,0.10909757562139939,0.057998666734240124,0.3
1.1485964912280702,0.0,0.18924553694555407,0.11013638037848292,0.05753267464402193,0.30000000000000004
1.1685714285714286,0.0,0.1876228048653305,0.11114304866508964,0.05706611300652523,0.29999999999999993
1.188546365914787,0.0,0.18599881657954473,0.11211793430470299,0.05659918915409378,0.3
1.2085213032581454,0.0,0.1843742711840823,0.11306140592411315,0.05613210406103833,0.3
1.2284962406015036,0.0,0.18274984559472676,0.1139738458577264,0.055665052325396695,0.29999999999999993
1.248471177944862,0.0,0.18112619453165424,0.11485564907690986,0.0551982221644763,0.3
1.2684461152882205,0.0,0.1795039505492207,0.11570722214597215,0.05473179542341728,0.2999999999999998
1.288421052631579,0.0,0.1778837241083936,0.11652898220617981,0.054265947596015114,0.3
1.3083959899749373,0.0,0.1762661036891931,0.11732135598901482,0.05380084785704462,0.3
1.3283709273182958,0.0,0.17465165594053594,0.11808477885969378,0.05333665910533695,0.3
1.3483458646616542,0.0,0.1730409258649078,0.11881969389179237,0.052873538016868504,0.29999999999999993
1.3683208020050126,0.0,0.17143443703533845,0.11952655097365181,0.05241163510713649,0.3
1.388295739348371,0.0,0.16983269184220434,0.12020580594708528,0.051951094802108966,0.30000000000000004
1.4082706766917292,0.0,0.16823617176744587,0.12085791977875435,0.051492055517056046,0.3
1.4282456140350877,0.0,0.16664533768385273,0.12148335776444652,0.051034649742587784,0.3
1.448220551378446,0.0,0.16506063017714262,0.1220825887663544,0.050579004137244296,0.3
1.4681954887218045,0.0,0.16348246988863582,0.1226560844833383,0.05012523962600705,0.3
1.488170426065163,0.0,0.16191125787640862,0.12320431875404214,0.04967347150412222,0.30000000000000004
1.5081453634085213,0.0,0.16034737599289164,0.12372776689263086,0.04922380954565154,0.2999999999999998
1.5281203007518798,0.0,0.15879118727696565,0.12422690505682571,0.04877635811619115,0.3
1.548095238095238,0.0,0.15724303635869363,0.12470220964782758,0.04833121628922263,0.3
1.5680701754385964,0.0,0.15570324987491774,0.12515415674164426,0.047888477965587754,0.3
1.5880451127819548,0.0,0.1541721368940376,0.1255832215512688,0.047448231995602726,0.3
1.6080200501253132,0.0,0.15264998934837537,0.12598987791909497,0.04701056230335309,0.3000000000000001
1.6279949874686717,0.0,0.1511370824726222,0.12637459783890462,0.046575548012737285,0.29999999999999993
1.64796992481203,0.0,0.14963367524694712,0.12673785100671306,0.04614326357485037,0.3000000000000001
1.6679448621553885,0.0,0.14814001084343645,0.12708010439972134,0.04571377889632506,0.3
1.687919799498747,0.0,0.14665631707461618,0.1274018218825887,0.04528715946827186,0.3
1.7078947368421054,0.0,0.1451828068428927,0.1277034638402127,0.04486346649548305,0.3000000000000001
1.7278696741854636,0.0,0.14371967858982782,0.12798548683618013,0.044442757025588926,0.2999999999999999
1.747844611528822,0.0,0.142267116744243,0.12824834329603663,0.04402508407787776,0.3
1.7678195488721804,0.0,0.14082529216822315,0.1284924812145087,0.04361049677151154,0.29999999999999993
