delta_r,r,chi_daughter,Deltaf_over_E0,Rc_over_xi_exact,Rc_over_xi_asym,Fstar_over_E0xi3_exact,Fstar_over_E0xi3_asym,local_KMS_exponent_Fstar_over_Theta
0.01,3.365,1.0614438182650008,0.005629160514311948,183.57594931061632,183.71173070873834,72937.28520682987,73045.2207959374,687.6593196144887
0.02,3.355,1.0622234457780242,0.0112666176102727,91.72038325809844,91.85586535436917,18207.47618464819,18261.30519898435,171.661731712764
0.05,3.325,1.0645387465559426,0.028228407643234865,36.607749834741725,36.74234614174767,2900.4414230113703,2921.8088318374957,27.34562398194266
0.08,3.295,1.0668197445709844,0.04526358757494431,22.830238180428292,22.963966338592293,1128.0774392735416,1141.331574936522,10.63561609351836
0.12,3.255,1.0698099578670446,0.06808973856986755,15.176713950462496,15.309310892394862,498.50960023678505,507.2584777495654,4.699993584187008
0.2,3.175,1.0756256388272327,0.1141203107486013,9.055167116685393,9.185586535436917,177.46428702291527,182.61305198984348,1.6731493436311895
0.3,3.075,1.0826119228067614,0.1723480733165932,5.995880692779189,6.123724356957945,77.80795376799861,81.16135643993046,0.7335804231946826
