omega,k,ReG,ImG
3.74,0.0,0.05075420143125744,0.11034496965141237
3.75,0.0,0.05050215208034433,0.11018651362984218
3.7600000000000002,0.0,0.05025148246224196,0.11002812293741485
3.77,0.0,0.05000218395938527,0.10986980182736243
3.7800000000000002,0.0,0.04975424800505033,0.10971155447984302
3.79,0.0,0.04950766608324706,0.10955338500296392
3.8000000000000003,0.0,0.04926242972860642,0.10939529743379175
3.81,0.0,0.04901853052626228,0.10923729573934933
3.8200000000000003,0.0,0.048775960111727974,0.10907938381759989
3.83,0.0,0.048534710170768186,0.10892156549841861
3.84,0.0,0.048294772439265644,0.1087638445445514
3.85,0.0,0.04805613870308345,0.1086062246525616
3.86,0.0,0.04781880079792279,0.108448709453764
3.87,0.0,0.04758275060917621,0.10829130251514703
3.88,0.0,0.04734798007177694,0.1081340073402828
3.89,0.0,0.047114481170043944,0.10797682737022533
3.9,0.0,0.04688224593752318,0.10781976598439698
3.91,0.0,0.04665126645682511,0.1076628265014633
3.92,0.0,0.046421534859458595,0.10750601218019658
3.93,0.0,0.0461930433256612,0.10734932622032767
3.94,0.0,0.04596578408422637,0.1071927717633871
3.95,0.0,0.045739749412327106,0.10703635189353479
3.96,0.0,0.0455149316353368,0.10688006963837889
3.97,0.0,0.04529132312664691,0.10672392796978376
3.98,0.0,0.045068916307481915,0.10656792980466757
3.99,0.0,0.04484770364671139,0.10641207800578882
4.0,0.0,0.04462767766065964,0.10625637538252296
4.01,0.0,0.0444088309129126,0.10610082469162828
4.0200000000000005,0.0,0.04419115601412248,0.10594542863800185
4.03,0.0,0.04397464562181017,0.10579018987542549
4.04,0.0,0.04375929244016519,0.1056351110073014
4.05,0.0,0.04354508921984375,0.10548019458737833
4.0600000000000005,0.0,0.043332028757764804,0.10532544312046803
4.07,0.0,0.043120103896904106,0.10517085906315192
4.08,0.0,0.04290930752608649,0.10501644482447842
4.09,0.0,0.04269963257977643,0.10486220276665094
4.1,0.0,0.042491072037866985,0.10470813520570657
4.11,0.0,0.04228361892546711,0.10455424441218575
4.12,0.0,0.04207726631268768,0.10440053261179279
4.13,0.0,0.04187200731442591,0.10424700198604767
4.14,0.0,0.04166783509014854,0.10409365467292878
4.15,0.0,0.04146474284367393,0.10394049276750737
4.16,0.0,0.041262723822952846,0.10378751832257313
4.17,0.0,0.04106177131984813,0.1036347333492513
4.18,0.0,0.04086187866991355,0.1034821398176117
4.19,0.0,0.04066303925217152,0.10332973965726919
4.2,0.0,0.040465246488890105,0.10317753475797622
4.21,0.0,0.04026849384535902,0.10302552697020724
4.22,0.0,0.0400727748296651,0.10287371810573508
4.23,0.0,0.039878082992466896,0.10272210993819961
4.24,0.0,0.039684411926768894,0.10257070420366883
4.25,0.0,0.03949175526769483,0.10241950260119179
