E,inverse_static_susceptibility
-0.2,3.7600000000000002
-0.18000000000000002,3.7840000000000003
-0.16,3.808
-0.14,3.832
-0.12000000000000001,3.856
-0.1,3.8799999999999994
-0.08000000000000002,3.9040000000000004
-0.06,3.9280000000000004
-0.04000000000000001,3.952
-0.020000000000000018,3.9760000000000004
0.0,4.0
0.01999999999999999,4.024
0.03999999999999998,4.048
0.06,4.072
0.08000000000000002,4.096
0.09999999999999998,4.12
0.12,4.144
0.14,4.168
0.15999999999999998,4.192
0.18,4.216
0.2,4.24
