alpha,max_real_eigenvalue,min_hessian_eigenvalue
0.0,-0.8,1.0
0.02,-0.793369964475876,0.9933480826680636
0.04,-0.7868116113297644,0.9867254049578446
0.06,-0.7803226646068133,0.9801315846429336
0.08,-0.7739009663000589,0.9735662477526253
0.1,-0.7675444679663241,0.967029028324411
0.12,-0.7612512230931475,0.9605195681659349
0.14,-0.755019380136116,0.9540375166259693
0.16,-0.7488471761560118,0.9475825303739976
0.18,-0.7427329309938007,0.9411542731880104
0.2,-0.7366750419289201,0.9347524157501471
0.22,-0.7306719787727396,0.928376635449829
0.24,-0.7247222793546347,0.92202661619405
0.26,-0.718824545362944,0.915702048224514
0.28,-0.7129774385072933,0.9094026279413133
0.3,-0.7071796769724491,0.9031280577328689
0.32,-0.7014300321370808,0.8968780458118603
0.34,-0.6957273255336396,0.8906523060568918
0.36,-0.6900704260280461,0.8844505578596489
0.38,-0.6844582472000673,0.8782725259773144
0.4,-0.6788897449072022,0.8721179403900293
0.42,-0.6733639150166021,0.8659865361631809
0.44,-0.667879791291075,0.8598780533143274
0.46,-0.662436443416569,0.8537922366845672
0.48,-0.6570329751597317,0.8477288358141694
0.5,-0.6516685226452117,0.8416876048223001
0.52,-0.6463422527433291,0.8356683022906761
0.54,-0.641053361559589,0.8296706911509935
0.56,-0.635801073018288,0.8236945385759791
0.58,-0.6305846375331463,0.8177396158739277
0.6,-0.6254033307585166,0.8118056983865867
0.62,-0.6202564524152829,0.8058925653902583
0.64,-0.6151433251860566,0.7999999999999999
0.66,-0.6100632936747401,0.7941277890768019
0.68,-0.6050157234259284,0.7882757231376311
0.7000000000000001,-0.6,0.7824435962682332
0.72,-0.5950155281000757,0.7766312060385914
0.74,-0.5900617307473366,0.7708383534209418
0.76,-0.5851380485014656,0.7650648427102527
0.78,-0.5802439387232321,0.759310481447079
0.8,-0.5753788748764679,0.7535750803427019
0.8200000000000001,-0.5705423458668912,0.7478584532064768
0.84,-0.5657338554154316,0.7421604168753055
0.86,-0.5609529214638788,0.7364807911451602
0.88,-0.5561990756108406,0.7308193987045866
0.9,-0.551471862576143,0.7251760650701153
0.92,-0.5467708396919383,0.7195506185235144
0.9400000000000001,-0.5420955764189113,0.7139428900508249
0.96,-0.537445653886087,0.7083527132831083
0.98,-0.532820664452848,0.7027799244388572
1.0,-0.5282202112918652,0.6972243622680053
1.02,-0.5236439079917342,0.6916858679974874
1.04,-0.5190913781781903,0.6861642852782945
